relationship_id,from_event_id,to_event_id,relationship_type,earlier_source_path,later_source_path,evidence_section,line_start,line_end,explanation,confidence
DEA-REL-0001,DEA-DEC-0011,DEA-DEC-0026,Superseded by,l0/work/plans/refactors/closed/2026-02-18-stage2-parser-module-split.md,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,Public API and Type Interface,29,38,The later diagnostics-only ParseResult replaced the public singleton ParseError state while preserving the parser facade.,High
DEA-REL-0002,DEA-DEC-0024,DEA-DEC-0068,Broadened by,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,l0/work/plans/refactors/closed/2026-03-01-stage1-diagnostics.md,Summary,28,35,The Stage 1 plan broadened unified Diagnostic collection from the Stage 2 lexer/parser pair to the full lexer/parser/driver/CLI error channel.,High
DEA-REL-0003,DEA-DEC-0087,DEA-DEC-0187,Broadened by,l0/work/plans/features/closed/2026-03-09-stage2-backend-c-emitter-milestone.md,work/plans/features/closed/2026-04-03-shared-diagnostic-code-catalog-noref.md,Assumptions,55,58,The shared catalog plan generalized backend-specific exact code reuse into the Stage 1 oracle for the L0 diagnostic inventory.,High
DEA-REL-0004,DEA-DEC-0025,DEA-DEC-0457,Superseded by,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,work/plans/bug-fixes/closed/2026-06-09-shared-lex-0040-recovery-noref.md,Summary,59,65,Recover-and-continue invalid-character scanning replaced the first-error fail-fast lexer policy.,High
DEA-REL-0005,DEA-DEC-0027,DEA-DEC-0441,Broadened by,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,work/plans/bug-fixes/closed/2026-06-07-stray-keyword-diagnostics-and-stmt-recovery-noref.md,Changes / B2,83,94,Shared block-local synchronization broadened the historical Stage 2 top-level-only recovery limit.,High
DEA-REL-0006,DEA-DEC-0028,DEA-DEC-0460,Superseded by,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,work/plans/refactors/closed/2026-06-10-shared-lexer-error-recovery-tokens-and-codepoint-columns-noref.md,Summary,78,81,Logical wrapper-token transport replaced direct copying of lexer diagnostics into ParseResult.,High
DEA-REL-0007,DEA-DEC-0457,DEA-DEC-0460,Broadened by,work/plans/bug-fixes/closed/2026-06-09-shared-lex-0040-recovery-noref.md,work/plans/refactors/closed/2026-06-10-shared-lexer-error-recovery-tokens-and-codepoint-columns-noref.md,Summary,78,81,The wrapper-token design preserved continued scanning and added an explicit cross-phase recovery/diagnostic transport contract.,High
DEA-REL-0008,DEA-DEC-0458,DEA-DEC-0463,Superseded by,work/plans/bug-fixes/closed/2026-06-09-shared-lex-0040-recovery-noref.md,work/plans/refactors/closed/2026-06-10-shared-lexer-error-recovery-tokens-and-codepoint-columns-noref.md,Summary,89,90,Parser execution over logical recovery tokens directly replaced the stop-before-parsing phase barrier.,High
DEA-REL-0009,DEA-DEC-0268,DEA-DEC-0467,Superseded by,l1/work/plans/bug-fixes/closed/2026-04-17-l1-diagnostic-tab-caret-alignment-noref.md,work/plans/refactors/closed/2026-06-10-shared-lexer-error-recovery-tokens-and-codepoint-columns-noref.md,Summary / Non-Goals,91,92,Code-point columns with byte offsets replaced the earlier byte-counted L1 column rule for non-ASCII source.,High
DEA-REL-0010,DEA-DEC-0202,DEA-DEC-0225,Superseded by,l1/work/plans/features/closed/2026-04-04-l1-float-double-literals-noref.md,l1/work/plans/features/closed/2026-04-13-l1-float-backend-contract-followup-noref.md,Division-by-Zero Rule,208,214,The explicit language-level non-panicking floating zero-division contract replaced delegation to host C/IEEE behavior.,High
DEA-REL-0011,DEA-DEC-0215,DEA-DEC-0240,Broadened by,l1/work/plans/features/closed/2026-04-04-l1-small-int-builtins-on-dea-abi-noref.md,l1/work/plans/features/closed/2026-04-13-l1-uint-long-ulong-bigint-builtins-noref.md,Phase 4: Extend typing and cast rules,158,187,"The wide-integer tranche preserved range-safe widening and extended the lattice to uint, long, and ulong.",High
DEA-REL-0012,DEA-DEC-0217,DEA-DEC-0231,Superseded by,l1/work/plans/features/closed/2026-04-04-l1-small-int-builtins-on-dea-abi-noref.md,l1/work/plans/features/closed/2026-04-13-l1-uint-long-ulong-bigint-builtins-noref.md,Defaults Chosen,88,92,The temporary reservation of uint ended when the later wide-integer tranche made it a real builtin.,High
DEA-REL-0013,DEA-DEC-0394,DEA-DEC-0408,Broadened by,l1/work/plans/features/closed/2026-05-10-fixed-size-array-primitive-noref.md,l1/work/plans/features/closed/2026-05-11-ordered-type-suffix-constructors-noref.md,Defaults Chosen,72,74,The ordered type-suffix plan generalized array/pointer order into a uniform left-to-right constructor architecture.,High
DEA-REL-0014,DEA-DEC-0396,DEA-DEC-0498,Superseded by,l1/work/plans/features/closed/2026-05-10-fixed-size-array-primitive-noref.md,l1/work/plans/features/closed/2026-06-17-stage1-const-value-grammar-contexts-noref.md,Constant-expression contexts,105,120,Visible const references replaced the initial literal-only fixed-array-bound grammar while retaining positive compile-time-int validation.,High
DEA-REL-0015,DEA-DEC-0427,,Broadened by,l1/work/plans/features/closed/2026-05-19-stage1-slices-len-slice-intrinsics-noref.md,l1/docs/reference/design-decisions.md,7.2 Slice Policy,188,191,Current normative documentation extends len from arrays and slices to strings; no later eligible closed plan records that extension.,Medium
DEA-REL-0016,DEA-DEC-0443,DEA-DEC-0450,Narrowed by,work/plans/features/closed/2026-06-07-case-default-arm-wildcard-phase1-noref.md,l1/work/plans/features/closed/2026-06-08-case-else-removal-l1-phase2-noref.md,Proposed Changes / Grammar,53,72,"L1 removed the transitional else spelling, narrowing the shared Phase 1 compatibility policy to L0.",High
DEA-REL-0017,DEA-DEC-0444,DEA-DEC-0450,Narrowed by,work/plans/features/closed/2026-06-07-case-default-arm-wildcard-phase1-noref.md,l1/work/plans/features/closed/2026-06-08-case-else-removal-l1-phase2-noref.md,Proposed Changes / Grammar,53,72,The dangling-else ambiguity diagnostic ceased to apply in wildcard-only L1 and survives only in L0's transitional grammar.,High
DEA-REL-0018,DEA-DEC-0181,DEA-DEC-0618,Broadened by,l1/work/plans/features/closed/2026-04-03-dea-virtual-module-noref.md,l1/work/plans/features/closed/2026-07-17-separate-compilation-artifact-layout-and-module-graph-noref.md,Source and interface precedence,125,126,The artifact-layout plan broadened dea's source-free virtual-module status into an explicit exemption from interface and object artifacts.,High
DEA-REL-0019,DEA-DEC-0483,DEA-DEC-0619,Broadened by,l1/work/plans/features/closed/2026-04-24-separate-compilation-driver-surface-noref.md,l1/work/plans/features/closed/2026-07-17-separate-compilation-artifact-layout-and-module-graph-noref.md,Module graph and dependency tiers,131,135,"The July module graph turns the driver's closure ownership into one canonical node with one selected source, interface, supplied, or virtual origin.",High
DEA-REL-0020,DEA-DEC-0486,DEA-DEC-0622,Broadened by,l1/work/plans/features/closed/2026-04-24-separate-compilation-driver-surface-noref.md,l1/work/plans/features/closed/2026-07-17-separate-compilation-artifact-layout-and-module-graph-noref.md,Module graph and dependency tiers,143,144,Direct import-selected interface activation was broadened to recursive require/link closure with semantic replay limited to require providers.,High
DEA-REL-0021,DEA-DEC-0002,DEA-DEC-0310,Superseded by,l0/work/plans/bug-fixes/closed/2026-02-15-arc-bug-fixes-noref.md,work/plans/bug-fixes/closed/2026-04-21-shared-arc-borrowed-param-reassignment-noref.md,Defensive entry retain (Option E),77,95,Lazy ownership promotion on first reassignment was replaced by a defensive entry retain for every syntactically reassigned borrowed ARC parameter.,High
DEA-REL-0022,DEA-DEC-0106,DEA-DEC-0120,Superseded by,l0/work/plans/features/closed/2026-03-10-stage2-build-run-driver-milestone.md,l0/work/plans/tools/closed/2026-03-11-windows-build-support.md,Stage 2 Build Driver Portability,132,144,The milestone's POSIX-only command target was replaced by explicit Windows-versus-POSIX command construction and discovery rules.,High
DEA-REL-0023,DEA-DEC-0115,DEA-DEC-0114,Broadened by,l0/work/plans/bug-fixes/closed/2026-03-11-stage1-backend-condition-arc-temp-control-flow-noref.md,l0/work/plans/bug-fixes/closed/2026-03-11-general-logical-short-circuit-arc-temp-lowering-noref.md,Fix implemented / Value-producing short-circuit lowering,60,78,Structured ARC-safe short-circuit lowering expanded from statement conditions to value-producing logical expressions.,High
DEA-REL-0024,DEA-DEC-0117,DEA-DEC-0133,Superseded by,l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md,l0/work/plans/bug-fixes/closed/2026-03-13-linux-c99-compatibility-noref.md,Fix Plan / Normalize Linux bootstrap artifact comparison,82,87,Raw native byte identity was replaced on Linux by identity after deterministic stripping and normalization while retained C remains raw.,High
DEA-REL-0025,DEA-DEC-0117,DEA-DEC-0134,Narrowed by,l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md,l0/work/plans/bug-fixes/closed/2026-03-13-windows-stage2-shell-test-regressions-noref.md,Planned Fix / win32 triple bootstrap,108,115,Windows retains the C fixed-point check but is exempt from native PE identity when the toolchain cannot guarantee deterministic binaries.,High
DEA-REL-0026,DEA-DEC-0117,DEA-DEC-0154,Narrowed by,l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md,l0/work/plans/bug-fixes/closed/2026-03-17-darwin-arm64-triple-bootstrap-native-mismatch-noref.md,Fix Plan,29,36,The initial Darwin rule compared normalized rather than raw native artifacts.,High
DEA-REL-0027,DEA-DEC-0119,DEA-DEC-0173,Superseded by,l0/work/plans/tools/closed/2026-03-11-windows-build-support.md,l0/work/plans/tools/closed/2026-03-31-windows-ci-msys2-mingw-python-noref.md,Recommendation,139,144,UCRT64 with MSYS2 Python replaced MINGW64 as the recommended automatic Windows tier; MINGW64 remains manual.,High
DEA-REL-0028,DEA-DEC-0154,DEA-DEC-0570,Narrowed by,l0/work/plans/bug-fixes/closed/2026-03-17-darwin-arm64-triple-bootstrap-native-mismatch-noref.md,work/plans/bug-fixes/closed/2026-07-11-shared-ci-platform-portability-regressions-noref.md,Scope of This Fix,44,48,The blanket Darwin normalization policy became architecture-specific: arm64 preserves loader-required commands while Intel retains its prior normalization.,High
DEA-REL-0029,DEA-DEC-0287,DEA-DEC-0344,Superseded by,l1/work/plans/features/closed/2026-04-18-l1-const-declarations-noref.md,l1/work/plans/features/closed/2026-04-24-lbi-symbol-mangling-and-linkage-noref.md,Defaults Chosen,71,73,Blanket static C storage for top-level consts was replaced by export-driven linkage: exported consts are external and non-exported consts remain static.,High
DEA-REL-0030,DEA-DEC-0341,DEA-DEC-0414,Superseded by,l1/work/plans/features/closed/2026-04-24-lbi-symbol-mangling-and-linkage-noref.md,l1/work/plans/refactors/closed/2026-05-11-unified-lbi-mangling-noref.md,Summary,32,47,The initial two-layer broad-S symbol encoding was replaced by one end-to-end recursive LBI grammar.,High
DEA-REL-0031,DEA-DEC-0346,DEA-DEC-0415,Broadened by,l1/work/plans/features/closed/2026-04-24-lbi-symbol-mangling-and-linkage-noref.md,l1/work/plans/refactors/closed/2026-05-11-unified-lbi-mangling-noref.md,Defaults Chosen,60,65,The initial I lifecycle terminal was retained while the unified grammar fixed the complete N/S/E/I terminal set.,High
DEA-REL-0032,DEA-DEC-0380,DEA-DEC-0385,Superseded by,l1/work/plans/features/closed/2026-05-08-unsafe-function-marker-noref.md,l1/work/plans/features/closed/2026-05-09-raw-pointer-indexing-semantics-noref.md,Defaults Chosen,54,56,The one-day transitional policy that left pointer indexing ungated was replaced by the unsafe-function requirement.,High
DEA-REL-0033,DEA-DEC-0388,DEA-DEC-0533,Superseded by,l1/work/plans/features/closed/2026-05-09-raw-pointer-indexing-semantics-noref.md,work/plans/features/closed/2026-06-30-shared-runtime-pointer-access-validation-noref.md,Summary,38,44,Unconditional direct unchecked raw-pointer indexing became only the explicit unchecked-mode branch; checked/default builds validate access first.,High
DEA-REL-0034,DEA-DEC-0508,DEA-DEC-0523,Broadened by,l1/work/plans/features/closed/2026-06-18-stage1-const-scalar-casts-noref.md,l1/work/plans/features/closed/2026-06-24-stage1-scalar-const-expression-flow-noref.md,Defaults Chosen,73,74,Folded-literal interface serialization expanded from cast constants to every accepted scalar constant expression.,High
DEA-REL-0035,DEA-DEC-0542,DEA-DEC-0550,Superseded by,work/plans/features/closed/2026-06-30-shared-runtime-pointer-access-validation-noref.md,work/plans/features/closed/2026-07-03-shared-lazy-arc-string-registration-noref.md,Shared Design,45,53,Eager heap-string registration was replaced by idempotent registration at first raw-byte exposure.,High
DEA-REL-0036,DEA-DEC-0536,DEA-DEC-0567,Broadened by,work/plans/features/closed/2026-06-30-shared-runtime-pointer-access-validation-noref.md,work/plans/bug-fixes/closed/2026-07-11-shared-checked-runtime-review-gaps-noref.md,Runtime Contract,83,87,"The tracker expanded from Dea-managed new/raw allocations to explicitly registered, non-owned foreign memory.",High
DEA-REL-0037,DEA-DEC-0537,DEA-DEC-0565,Broadened by,work/plans/features/closed/2026-06-30-shared-runtime-pointer-access-validation-noref.md,work/plans/bug-fixes/closed/2026-07-11-shared-checked-runtime-review-gaps-noref.md,Runtime Contract,81,90,The exact-base drop precheck was strengthened with expected pointee size and alignment before cleanup begins.,High
DEA-REL-0038,DEA-DEC-0545,DEA-DEC-0552,Broadened by,work/plans/features/closed/2026-06-30-shared-runtime-pointer-access-validation-noref.md,work/plans/features/closed/2026-07-04-shared-unchecked-build-surface-noref.md,Shared Design,55,59,The compile-time unchecked escape hatch became a public build/run/gen mode and an L1 runtime-archive variant.,High
DEA-REL-0039,DEA-DEC-0551,DEA-DEC-0566,Superseded by,work/plans/features/closed/2026-07-03-shared-lazy-arc-string-registration-noref.md,work/plans/bug-fixes/closed/2026-07-11-shared-checked-runtime-review-gaps-noref.md,Runtime Contract,81,85,Header-base heap-string tracking was replaced by a record based at the exact exposed byte pointer so basic-mode write checks see read-only storage.,High
DEA-REL-0040,DEA-DEC-0556,DEA-DEC-0586,Superseded by,work/plans/features/closed/2026-07-05-shared-compiler-runtime-quarantine-default-noref.md,work/plans/features/closed/2026-07-16-shared-compiler-runtime-check-basic-default-noref.md,Summary,69,72,"Native compilers moved from full checks plus a 256-record quarantine to basic checks plus that quarantine, while generated programs remain fully checked.",High
