event_id,source_type,source_path,local_id,date,summary,primary_category,secondary_categories,scope,status,explicitness,confidence,evidence_section,line_start,line_end,evidence_paraphrase,alternatives,rationale,current_docs,related_adrs,canonical_id,adr_coverage,adr_recommendation,included_in_primary_total,reviewer_notes
DEA-DEC-0001,Plan,l0/work/plans/bug-fixes/closed/2026-02-15-arc-bug-fixes-noref.md,D01,2026-02-14,Anonymous non-place ARC rvalues are materialized as scope-owned temporaries so discarded results and borrowed call arguments remain live through consumption and are then released.,Ownership and memory safety,Backend and C emission,L0 Stage 1,Retained,Embedded,High,Approach / Helper: _materialize_arc_temp,37,46,"The chosen helper emits a fresh typed temporary, registers it as owned in the current scope, and relies on scope-exit cleanup.",Leave anonymous ARC results unmanaged | Insert ad hoc immediate releases at each expression form,Scope-owned materialization gives ARC temporaries one uniform lifetime rule across discarded expressions and nested calls.,l0/docs/reference/ownership.md | l0/docs/reference/c-backend-design.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0008-arc-ownership-model.md,DEA-CANON-0001,Covered as part of a broader ADR,Covered by the ARC ownership ADRs.,Yes,
DEA-DEC-0002,Plan,l0/work/plans/bug-fixes/closed/2026-02-15-arc-bug-fixes-noref.md,D02,2026-02-14,"A borrowed ARC parameter was promoted lazily to an owned binding on its first reassignment, without releasing the caller-owned old value, and ownership was registered in the declaring function scope.",Ownership and memory safety,Backend and C emission,L0 Stage 1,Superseded,Explicit,High,Fix param reassignment of borrowed ARC values,121,130,"The plan says to skip cleanup of the borrowed old value, promote the parameter in its declaring scope, and use normal owned replacement thereafter.",Retain reassigned ARC parameters at function entry | Reject ARC parameter reassignment,Lazy promotion sought to avoid touching the caller's borrow and to pay ownership cost only once reassignment occurred.,l0/docs/reference/ownership.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0008-arc-ownership-model.md,DEA-CANON-0002,Directly covered,Historical rule is documented through the ARC ADR's related-plan chain; no separate ADR.,Yes,
DEA-DEC-0003,Plan,l0/work/plans/features/closed/2026-02-14-stage2-parser-specification-noref.md,D01,2026-02-14,"The Stage 2 parser is a behavior-preserving port whose grammar, parse structure, and equivalent diagnostic codes follow Stage 1.",Bootstrap and self-hosting,Frontend architecture | Diagnostics and recovery,L0 Stage 2,Retained,Explicit,High,Parser Porting Strategy,58,63,"The plan directs Stage 2 to keep the Stage 1 recursive-descent shape, preserve equivalent PAR codes, and remain syntax-only.",Design an independently structured Stage 2 parser | Permit Stage 2 grammar or diagnostic divergence,A mechanical oracle relationship reduces bootstrap divergence and makes Stage 1 behavior the reviewable reference.,l0/docs/reference/architecture.md | l0/docs/specs/compiler/stage1-contract.md | l0/docs/specs/compiler/stage2-contract.md,docs/decisions/0001-two-stage-architecture.md,DEA-CANON-0003,Directly covered,Covered by the Dea-wide two-stage architecture ADR.,Yes,
DEA-DEC-0004,Plan,l0/work/plans/features/closed/2026-02-14-stage2-parser-specification-noref.md,D02,2026-02-14,"Stage 2 uses a hybrid AST: declaration/shared metadata is pointer-owned, while expressions, statements, and patterns are arena-backed and connected by integer IDs.",Frontend architecture,Ownership and memory safety,L0 Stage 2,Retained,Explicit,High,Chosen AST Storage Model: Hybrid Arena,28,40,The plan explicitly selects pointer-owned metadata plus arena-backed high-volume graph nodes addressed by stable integer handles.,Fully pointer-linked AST | Fully arena-backed AST including declaration metadata,The split keeps dense parse graphs contiguous and ownership-safe while leaving declaration metadata easy to construct and manipulate.,l0/docs/reference/architecture.md,,DEA-CANON-0004,Not covered,Candidate P1 ADR: Stage 2 arena-backed AST and ownership model.,Yes,
DEA-DEC-0005,Plan,l0/work/plans/features/closed/2026-02-14-stage2-parser-specification-noref.md,D03,2026-02-14,The parser is a syntax-only phase; semantic and type-checking logic stays outside it.,Frontend architecture,Semantic analysis,L0 Stage 2,Retained,Explicit,High,Parser Porting Strategy,58,63,The porting policy explicitly excludes semantic and type-checking logic from the parser.,Perform name or type resolution during parsing,A syntax-only parser preserves explicit compiler phase boundaries and avoids semantic coupling in recovery paths.,l0/docs/reference/architecture.md,,DEA-CANON-0005,ADR not warranted,Stable architecture documentation is sufficient for this conventional phase boundary.,Yes,
DEA-DEC-0006,Plan,l0/work/plans/features/closed/2026-02-14-stage2-parser-specification-noref.md,D04,2026-02-14,"A Stage 2 ParseResult owns its module and AST arenas, and the caller releases the aggregate with parse_result_free.",Frontend architecture,Ownership and memory safety,L0 Stage 2,Retained,Explicit,High,Memory Lifecycle Plan,111,123,The plan defines parser-returned ownership of the module and arenas and one aggregate caller-side free operation.,Caller-owned individual AST allocations | Parser-global lifetime with no explicit result cleanup,Aggregate ownership gives later passes stable AST handles and one deterministic cleanup boundary.,l0/docs/reference/architecture.md,,DEA-CANON-0006,ADR not warranted,Document as an internal parser API contract; a standalone ADR is not necessary.,Yes,
DEA-DEC-0007,Plan,l0/work/plans/tools/closed/2026-02-16-trace-log-analyzer.md,D01,2026-02-14,Trace analysis fails only for definite runtime faults; suspicious or compatibility heuristics remain warnings.,Diagnostics and recovery,Runtime | Repository and process architecture,L0 Stage 2,Retained,Explicit,High,Assumptions and Defaults,94,102,"The failure policy is explicitly definite-issues-only, while suspicious cases are non-fatal warnings.",Fail on every suspicious trace pattern | Never fail and report findings only,The checker can act as a CI gate without turning uncertain heuristics into false failures.,l0/docs/specs/runtime/trace.md,,DEA-CANON-0007,ADR not warranted,Keep this policy in the tool and trace documentation; no ADR is needed.,Yes,
DEA-DEC-0008,Plan,l0/work/plans/bug-fixes/closed/2026-02-17-missing-cleanup-when-try-fails-in-with-noref.md,D01,2026-02-17,"Inline `with` cleanup is registered after each successful header item, so a later `?` short-circuit runs only prior completed cleanups in LIFO order.",Language semantics,Ownership and memory safety | Backend and C emission,L0,Retained,Explicit,High,Incremental inline cleanup registration,47,55,"Header items are emitted in order and each successful item's cleanup is prepended immediately, preserving LIFO behavior on later short-circuit.",Register all cleanups before any header initialization | Skip all cleanup when a header initializer short-circuits,"Only resources actually acquired before the failure may be cleaned, and cleanup order must reverse acquisition order.",l0/docs/reference/grammar.md | l0/docs/reference/ownership.md,l0/docs/decisions/0010-with-statement-cleanup.md,DEA-CANON-0008,Directly covered,Covered by the `with` cleanup ADR.,Yes,
DEA-DEC-0009,Plan,l0/work/plans/bug-fixes/closed/2026-02-17-missing-cleanup-when-try-fails-in-with-noref.md,D02,2026-02-17,A cleanup block may not reference a non-nullable `with` header binding that can be uninitialized on a `?` header-failure path.,Type system,Language semantics | Diagnostics and recovery,L0,Retained,Explicit,High,Type safety guard for cleanup-block references,67,74,The type checker marks affected header lets as maybe-uninitialized and rejects cleanup references to non-nullable ones with TYP-0156.,Permit the reference and synthesize a hidden sentinel | Ban all cleanup references when any header can short-circuit,The rule preserves non-nullability without unnecessarily rejecting safely nullable or unrelated cleanup bindings.,l0/docs/reference/grammar.md | docs/specs/compiler/diagnostic-code-catalog.md,l0/docs/decisions/0010-with-statement-cleanup.md,DEA-CANON-0009,Covered as part of a broader ADR,The broader `with` ADR plus normative grammar and diagnostic catalog are sufficient.,Yes,
DEA-DEC-0010,Plan,l0/work/plans/refactors/closed/2026-02-18-stage2-parser-module-split.md,D01,2026-02-18,"`module parser` remains the sole stable public import facade while expression, statement, declaration, and shared parser internals live in private submodules.",Frontend architecture,,L0 Stage 2,Retained,Explicit,High,Summary,16,20,The refactor preserves the external `import parser` contract exactly and moves internals behind parser submodules.,Expose each parser submodule to callers | Keep the parser monolithic,A facade preserves callers while allowing internal decomposition without import cycles or API churn.,l0/docs/reference/architecture.md,,DEA-CANON-0010,ADR not warranted,An internal module-facade contract does not require a standalone ADR.,Yes,
DEA-DEC-0011,Plan,l0/work/plans/refactors/closed/2026-02-18-stage2-parser-module-split.md,D02,2026-02-18,The Stage 2 parser's public result API exposed a single ParseError/ParseErrorState alongside ParseResult.,Frontend architecture,Diagnostics and recovery,L0 Stage 2,Superseded,Explicit,High,Public API and Type Interface,30,48,"The preserved public facade explicitly includes ParseError, ParseErrorState, ParseResult, and conversion from private single-error state.",Expose only a diagnostic collection | Raise or abort on the first parse error,At that point the stable facade mirrored the existing single-error parser result while internals were split.,l0/docs/reference/architecture.md,,DEA-CANON-0011,ADR not warranted,Historical internal API; the later diagnostics-only result requires no separate ADR beyond the plan chain.,Yes,
DEA-DEC-0012,Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,D01,2026-02-19,Compiler operating modes are selected by global flags rather than subcommand words.,CLI and distribution,,L0 Stage 1,Retained,Explicit,High,Summary,17,21,The plan replaces run/build/gen/check and dump command words with global mode flags.,Retain argparse subcommands | Support both forms as equally canonical,Global mode flags allow all options to share one consistent parser surface.,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0012,Directly covered,Covered by the shared CLI ADR.,Yes,
DEA-DEC-0013,Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,D02,2026-02-19,`--build` is the compiler's default mode when no primary mode flag is supplied.,CLI and distribution,,L0 Stage 1,Retained,Explicit,High,Summary,23,23,The plan explicitly selects build as the omitted-mode default.,Default to `--check` | Require an explicit mode,Build preserves the compiler-driver default expected for ordinary invocations.,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0013,Directly covered,Covered by the shared CLI ADR.,Yes,
DEA-DEC-0014,Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,D03,2026-02-19,Stage 1 initially retained a compatibility shim that rewrote the first recognized legacy command word into a mode flag.,CLI and distribution,,L0 Stage 1,Superseded,Explicit,High,Summary,25,25,The plan explicitly keeps a simple command-word-to-mode-flag compatibility rewrite.,Make the mode-flag migration a hard cut | Keep subcommands as the primary syntax,The shim reduced immediate migration cost while establishing mode flags as canonical.,l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0014,Directly covered,The current flags-only contract supersedes this historical compatibility choice.,Yes,
DEA-DEC-0015,Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,D04,2026-02-19,"Runtime arguments for `--run` must follow a `--` separator, and the separator is invalid outside run mode.",CLI and distribution,,L0,Retained,Explicit,High,Public CLI Interface,31,40,The public interface reserves `--` for run-program arguments and rejects incompatible mode/flag combinations.,Treat every positional token after the target as a runtime argument | Use a dedicated repeated runtime-argument option,The separator unambiguously divides compiler options from child-program arguments.,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0015,Directly covered,Covered by the shared CLI ADR.,Yes,
DEA-DEC-0016,Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,D05,2026-02-19,A compiler invocation accepts exactly one source target; multi-target execution remains outside the current contract.,CLI and distribution,,L0,Retained,Explicit,High,Summary,27,27,"The parser may store a target list for future work, but execution rejects more than one target.",Support multiple independent targets | Support a target plus dependency targets,"Single-target semantics avoid defining output naming, partial failure, and ordering behavior prematurely.",docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0016,Directly covered,Covered by the shared CLI ADR.,Yes,
DEA-DEC-0017,Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,D06,2026-02-19,The initial short-option allocation kept `-I` for `--runtime-include`.,CLI and distribution,,L0,Superseded,Explicit,High,Public CLI Interface,37,38,The plan resolves the short-flag conflict by assigning `-I` to runtime include.,Reserve `-I` for conventional interface/import search | Make runtime include long-only,The choice preserved the then-existing L0 runtime-include spelling.,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0017,Directly covered,The current CLI ADR supersedes this with `-I` for interface paths and `-Ri` for runtime includes.,Yes,
DEA-DEC-0018,Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,D07,2026-02-19,`--include-eof` is a long-only token-dump option.,CLI and distribution,,L0,Retained,Explicit,High,Public CLI Interface,37,38,The conflict-resolution item explicitly leaves include-eof without a short spelling.,Assign a short spelling to include-eof,The narrow developer option does not consume scarce conventional short-option space.,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,DEA-CANON-0018,Covered as part of a broader ADR,Covered by the shared CLI contract and ADR.,Yes,
