adr_path,title,status,related_closed_plan_count,related_closed_plans,related_closed_initiatives,textually_referenced_closed_plans,textually_referenced_closed_initiatives,canonical_decision_ids,coverage_notes
docs/decisions/0001-two-stage-architecture.md,Two-Stage Compiler Architecture,Accepted,7,l0/work/plans/features/closed/2026-02-14-stage2-parser-specification-noref.md | l0/work/plans/features/closed/2026-03-09-stage2-backend-c-emitter-milestone.md | l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md | l0/work/plans/refactors/closed/2026-03-24-monorepo-language-level-layout-noref.md | l0/work/plans/tools/closed/2026-03-09-stage2-bootstrap-compiler-artifact-noref.md | l1/work/plans/features/closed/2026-06-08-case-else-removal-l1-phase2-noref.md | work/plans/features/closed/2026-04-03-shared-diagnostic-code-catalog-noref.md,,l0/work/plans/features/closed/2026-02-14-stage2-parser-specification-noref.md | l0/work/plans/features/closed/2026-02-28-stage2-semantic-foundation-milestone-noref.md | l0/work/plans/features/closed/2026-03-09-stage2-backend-c-emitter-milestone.md | l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md,,DEA-CANON-0003 | DEA-CANON-0080 | DEA-CANON-0082 | DEA-CANON-0102 | DEA-CANON-0111 | DEA-CANON-0159 | DEA-CANON-0439,Four closed L0 bootstrap plans substantiate the retained Stage 1 oracle and Stage 2 self-hosting contract.
docs/decisions/0002-arc-ownership-model.md,ARC Ownership Model,Accepted,9,l0/work/plans/bug-fixes/closed/2026-02-15-arc-bug-fixes-noref.md | l0/work/plans/bug-fixes/closed/2026-02-25-arc-opt-as-string-unwrap-ownership-noref.md | l0/work/plans/bug-fixes/closed/2026-02-28-stage1-backend-loop-continue-arc-release-uninitialized-noref.md | l1/work/plans/features/closed/2026-05-10-fixed-size-array-primitive-noref.md | work/plans/bug-fixes/closed/2026-04-20-shared-casted-place-null-propagation-arc-noref.md | work/plans/bug-fixes/closed/2026-04-20-shared-top-level-arc-cleanup-and-drop-diagnostic-parity-noref.md | work/plans/bug-fixes/closed/2026-04-22-shared-unwrapped-string-value-arc-copy-noref.md | work/plans/bug-fixes/closed/2026-04-30-shared-arc-owned-local-reassignment-semantics-noref.md | work/plans/bug-fixes/closed/2026-06-22-shared-for-header-and-statement-flow-safety-noref.md,,,,DEA-CANON-0001 | DEA-CANON-0002 | DEA-CANON-0031 | DEA-CANON-0055 | DEA-CANON-0056 | DEA-CANON-0057 | DEA-CANON-0058 | DEA-CANON-0297 | DEA-CANON-0298 | DEA-CANON-0320 | DEA-CANON-0349 | DEA-CANON-0350 | DEA-CANON-0396 | DEA-CANON-0498,"The ADR itself cites no closed-plan contributor; audit-derived canonical provenance supplies the related plans, and the L0 ownership ADR carries the detailed current contract."
docs/decisions/0003-shared-cli-contract.md,Shared CLI Contract,Accepted,11,l0/work/plans/bug-fixes/closed/2026-03-10-stage2-source-paths-l0-home-fallback-noref.md | l0/work/plans/features/closed/2026-02-24-stage2-driver-l0c-port-syntax-plumbing-noref.md | l0/work/plans/features/closed/2026-02-28-stage2-semantic-foundation-milestone-noref.md | l0/work/plans/features/closed/2026-03-08-l0-cflags-c-compiler-options-noref.md | l0/work/plans/features/closed/2026-03-12-cli-version-flag-and-identity-text-noref.md | l0/work/plans/features/closed/2026-03-12-shared-cli-contract-spec.md | l0/work/plans/features/closed/2026-03-12-stage2-build-info-version-output-noref.md | l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md | l0/work/plans/refactors/closed/2026-02-24-stage-independent-shared-assets-layout-noref.md | l0/work/plans/tools/closed/2026-03-13-windows-dev-install-and-prefix-workflow.md | l1/work/plans/features/closed/2026-04-24-separate-compilation-driver-surface-noref.md,,l0/work/plans/features/closed/2026-03-12-shared-cli-contract-spec.md | l0/work/plans/features/closed/2026-03-12-cli-version-flag-and-identity-text-noref.md,,DEA-CANON-0012 | DEA-CANON-0013 | DEA-CANON-0014 | DEA-CANON-0015 | DEA-CANON-0016 | DEA-CANON-0017 | DEA-CANON-0018 | DEA-CANON-0019 | DEA-CANON-0020 | DEA-CANON-0022 | DEA-CANON-0062 | DEA-CANON-0076 | DEA-CANON-0077 | DEA-CANON-0078 | DEA-CANON-0079 | DEA-CANON-0097 | DEA-CANON-0117 | DEA-CANON-0118 | DEA-CANON-0119 | DEA-CANON-0120 | DEA-CANON-0124 | DEA-CANON-0136 | DEA-CANON-0463 | DEA-CANON-0464 | DEA-CANON-0465 | DEA-CANON-0466,Two closed L0 plans establish the shared command-line behavior and version/identity surface.
docs/decisions/0004-monorepo-directory-structure.md,Monorepo Directory Structure,Accepted,6,l0/work/plans/refactors/closed/2026-02-24-stage-independent-shared-assets-layout-noref.md | l0/work/plans/refactors/closed/2026-03-24-monorepo-language-level-layout-noref.md | l0/work/plans/tools/closed/2026-03-02-doxygen-mcss-docs-system.md | l0/work/plans/tools/closed/2026-03-23-shell-to-python-tooling-port-noref.md | work/plans/features/closed/2026-06-30-shared-editor-support-noref.md | work/plans/tools/closed/2026-05-06-shared-uv-workspace-monorepo-noref.md,,l0/work/plans/refactors/closed/2026-03-24-monorepo-language-level-layout-noref.md | work/plans/tools/closed/2026-05-06-shared-uv-workspace-monorepo-noref.md | work/plans/features/closed/2026-06-30-shared-editor-support-noref.md,,DEA-CANON-0021 | DEA-CANON-0068 | DEA-CANON-0155 | DEA-CANON-0157 | DEA-CANON-0158 | DEA-CANON-0160 | DEA-CANON-0161 | DEA-CANON-0162 | DEA-CANON-0163 | DEA-CANON-0164 | DEA-CANON-0357 | DEA-CANON-0358 | DEA-CANON-0511,"Three closed plans cover the language-level layout, shared Python workspace, and later shared editor integration."
docs/decisions/0005-diagnostic-code-catalog.md,Shared Diagnostic Code Catalog,Accepted,7,l0/work/plans/bug-fixes/closed/2026-05-08-stage2-pointer-indexing-parity-noref.md | l0/work/plans/bug-fixes/closed/2026-06-05-duplicate-open-import-diagnostic-parity-noref.md | l0/work/plans/features/closed/2026-03-09-stage2-backend-c-emitter-milestone.md | l1/work/plans/features/closed/2026-06-24-stage1-scalar-const-expression-flow-noref.md | work/plans/bug-fixes/closed/2026-06-07-stray-keyword-diagnostics-and-stmt-recovery-noref.md | work/plans/features/closed/2026-04-03-diagnostic-code-catalog-meanings-noref.md | work/plans/features/closed/2026-04-03-shared-diagnostic-code-catalog-noref.md,,work/plans/features/closed/2026-04-03-shared-diagnostic-code-catalog-noref.md | work/plans/features/closed/2026-04-03-diagnostic-code-catalog-meanings-noref.md,,DEA-CANON-0082 | DEA-CANON-0179 | DEA-CANON-0180 | DEA-CANON-0181 | DEA-CANON-0362 | DEA-CANON-0427 | DEA-CANON-0429 | DEA-CANON-0505,Two closed shared plans establish the catalog and its stable diagnostic meanings.
docs/decisions/0006-docs-work-taxonomy.md,Docs/Work Taxonomy,Accepted,2,l0/work/plans/tools/closed/2026-03-02-doxygen-mcss-docs-system.md | work/plans/refactors/closed/2026-04-04-docs-work-taxonomy-reorg-noref.md,,work/plans/refactors/closed/2026-04-04-docs-work-taxonomy-reorg-noref.md,,DEA-CANON-0067 | DEA-CANON-0213 | DEA-CANON-0214 | DEA-CANON-0215,One closed repository refactor plan directly establishes the durable documentation and work taxonomy.
docs/decisions/0007-case-default-arm-wildcard.md,Case Default Arm `_ =>` Wildcard Migration,Accepted,3,l0/work/plans/tools/closed/2026-07-13-release-1-1-0-preparation-noref.md | l1/work/plans/features/closed/2026-06-08-case-else-removal-l1-phase2-noref.md | work/plans/features/closed/2026-06-07-case-default-arm-wildcard-phase1-noref.md,,work/plans/features/closed/2026-06-07-case-default-arm-wildcard-phase1-noref.md,,DEA-CANON-0430 | DEA-CANON-0431 | DEA-CANON-0432 | DEA-CANON-0438 | DEA-CANON-0439 | DEA-CANON-0555,One explicitly linked closed plan establishes the cross-level `_ =>` migration; the ADR also narrates the later L1 removal without linking another plan.
docs/decisions/0008-source-text-encoding-and-ascii-language-vocabulary.md,Source Text Encoding and ASCII Language Vocabulary,Accepted,1,l0/work/plans/bug-fixes/closed/2026-06-09-stage1-non-ascii-identifier-rejection-noref.md,,l0/work/plans/bug-fixes/closed/2026-06-09-stage1-non-ascii-identifier-rejection-noref.md,,DEA-CANON-0442 | DEA-CANON-0443 | DEA-CANON-0444,One closed Stage 1 bug-fix plan supplies the direct decision history for the shared source-text contract.
docs/decisions/0009-logical-lexer-error-recovery-tokens-and-codepoint-columns.md,Logical Lexer-Error Recovery Tokens and Code-Point Columns,Accepted,4,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md | l1/work/plans/bug-fixes/closed/2026-04-17-l1-diagnostic-tab-caret-alignment-noref.md | work/plans/bug-fixes/closed/2026-06-09-shared-lex-0040-recovery-noref.md | work/plans/refactors/closed/2026-06-10-shared-lexer-error-recovery-tokens-and-codepoint-columns-noref.md,,work/plans/bug-fixes/closed/2026-06-09-shared-lex-0040-recovery-noref.md | work/plans/refactors/closed/2026-06-10-shared-lexer-error-recovery-tokens-and-codepoint-columns-noref.md,,DEA-CANON-0024 | DEA-CANON-0026 | DEA-CANON-0259 | DEA-CANON-0445 | DEA-CANON-0447 | DEA-CANON-0448 | DEA-CANON-0449 | DEA-CANON-0450 | DEA-CANON-0451 | DEA-CANON-0452,Two closed shared plans document the short-lived parser barrier and its replacement by parser-visible recovery tokens.
docs/decisions/0010-checked-runtime-pointer-access-validation.md,Checked Runtime Pointer Access Validation,Accepted,10,l1/work/plans/features/closed/2026-05-09-raw-pointer-indexing-semantics-noref.md | l1/work/plans/features/closed/2026-06-30-runtime-pointer-access-validation-noref.md | work/plans/bug-fixes/closed/2026-07-03-shared-alloc-tracker-churn-rehash-noref.md | work/plans/bug-fixes/closed/2026-07-11-shared-checked-runtime-review-gaps-noref.md | work/plans/features/closed/2026-06-30-shared-runtime-pointer-access-validation-noref.md | work/plans/features/closed/2026-07-03-shared-lazy-arc-string-registration-noref.md | work/plans/features/closed/2026-07-04-shared-unchecked-build-surface-noref.md | work/plans/features/closed/2026-07-05-shared-compiler-runtime-quarantine-default-noref.md | work/plans/features/closed/2026-07-08-shared-runtime-check-basic-mode-noref.md | work/plans/features/closed/2026-07-16-shared-compiler-runtime-check-basic-default-noref.md,,work/plans/features/closed/2026-06-30-shared-runtime-pointer-access-validation-noref.md | l0/work/plans/features/closed/2026-06-30-runtime-pointer-access-validation-noref.md | l1/work/plans/features/closed/2026-06-30-runtime-pointer-access-validation-noref.md | work/plans/bug-fixes/closed/2026-07-03-shared-alloc-tracker-churn-rehash-noref.md | work/plans/features/closed/2026-07-03-shared-lazy-arc-string-registration-noref.md | work/plans/features/closed/2026-07-04-shared-runtime-alloc-benchmark-noref.md | work/plans/features/closed/2026-07-08-shared-runtime-check-basic-mode-noref.md | work/plans/bug-fixes/closed/2026-07-11-shared-checked-runtime-review-gaps-noref.md | work/plans/bug-fixes/closed/2026-07-13-shared-checked-runtime-contraction-alignof-noref.md | work/plans/features/closed/2026-07-16-shared-compiler-runtime-check-basic-default-noref.md,,DEA-CANON-0378 | DEA-CANON-0510 | DEA-CANON-0516 | DEA-CANON-0517 | DEA-CANON-0518 | DEA-CANON-0519 | DEA-CANON-0520 | DEA-CANON-0521 | DEA-CANON-0522 | DEA-CANON-0523 | DEA-CANON-0524 | DEA-CANON-0525 | DEA-CANON-0526 | DEA-CANON-0527 | DEA-CANON-0528 | DEA-CANON-0530 | DEA-CANON-0531 | DEA-CANON-0532 | DEA-CANON-0533 | DEA-CANON-0534 | DEA-CANON-0535 | DEA-CANON-0536 | DEA-CANON-0537 | DEA-CANON-0538 | DEA-CANON-0539 | DEA-CANON-0541 | DEA-CANON-0542 | DEA-CANON-0543 | DEA-CANON-0544 | DEA-CANON-0546 | DEA-CANON-0547 | DEA-CANON-0548 | DEA-CANON-0549 | DEA-CANON-0550 | DEA-CANON-0566 | DEA-CANON-0567,Ten closed shared/L0/L1 plans support the checked-runtime contract and its refinements; the active static-elision proposal is not counted.
