record_type,path,date,title,kind,repository_area,scope,stage,subsystem,final_status,decision_count,notes
Plan,l0/work/plans/bug-fixes/closed/2026-02-15-arc-bug-fixes-noref.md,2026-02-14,Fix ARC leaks for temporaries and discarded results in Stage 1 backend,Bug Fix,L0,L0 Stage 1,Stage 1,Backend code generation / ARC,Closed (fixed),2,Final audited decision count: 2. The metadata date is one day earlier than the filename date. The plan establishes an ARC-temporary lifetime rule and a borrowed-parameter strategy that was later superseded.
Plan,l0/work/plans/features/closed/2026-02-14-stage2-parser-specification-noref.md,2026-02-14,Stage 2 Parser Specification,Feature,L0,L0 Stage 2,Stage 2,Frontend parser,Implemented,4,"Final audited decision count: 4. Defines the Stage 2 parser's parity boundary, AST storage architecture, phase responsibility, and result ownership. Port milestones and test lists are not counted."
Plan,l0/work/plans/tools/closed/2026-02-16-trace-log-analyzer.md,2026-02-14,Implement Stage 2 trace log analyzer for runtime issue detection,Tool,L0,L0 Stage 2,Stage 2,Trace tooling,Closed (implemented),1,Final audited decision count: 1. The metadata date is two days earlier than the filename date. Detailed parsing checks are implementation mechanics; the standalone-input and failure-policy contracts are counted. Global reconciliation removed 1 repeated or non-architectural candidate event(s).
Plan,l0/work/plans/bug-fixes/closed/2026-02-17-arc-return-expression-temp-cleanup-noref.md,2026-02-17,Fix leaked ARC temporaries materialized while emitting return expressions,Bug Fix,L0,L0 Stage 1,Stage 1,Backend code generation / ARC,Closed,0,"Final audited decision count: 0. The return-emission reorder is a correction mechanically required by the already-counted ARC-temporary lifetime contract, not a new architectural choice."
Plan,l0/work/plans/bug-fixes/closed/2026-02-17-missing-cleanup-when-try-fails-in-with-noref.md,2026-02-17,Fix missing cleanup when `?` fails in `with` header initializers,Bug Fix,L0,L0 Stage 1,Stage 1,Backend code generation / type checking / `with`,Closed (fixed),2,"Final audited decision count: 2. Separates the language cleanup contract, nullable-header lowering, and the static safety restriction for possibly uninitialized non-nullable bindings. Global reconciliation removed 1 repeated or non-architectural candidate event(s)."
Plan,l0/work/plans/refactors/closed/2026-02-18-stage2-parser-module-split.md,2026-02-18,Split Stage 2 parser into internal modules while preserving `import parser` API,Refactor,L0,L0 Stage 2,Stage 2,Frontend parser,Closed (implemented),2,Final audited decision count: 2. Counts the stable parser facade and the then-current single-error public API. The exact extraction sequence and file list are not decisions.
Plan,l0/work/plans/refactors/closed/2026-02-19-l0c-cli-global-mode-flags.md,2026-02-19,Replace `l0c` subcommand parser with global mode flags and a simple legacy command shim,Refactor,L0,L0 Stage 1,Stage 1,Compiler CLI,Closed (implemented),9,Final audited decision count: 9. Public CLI choices are split atomically. The legacy shim and original `-I` meaning are historical; the rest largely survive in the current shared CLI contract.
Plan,l0/work/plans/features/closed/2026-02-24-stage2-driver-l0c-port-syntax-plumbing-noref.md,2026-02-24,Port Stage 2 driver and `l0c` command-line tool with syntax-check and token-dump modes,Feature,L0,L0 Stage 2,Stage 2,Driver / compiler CLI,Implemented (2026-02-25),1,Final audited decision count: 1. Most items are mechanical Stage 1 parity or temporary milestone capability limits. The intentional rejection of the Stage 1 legacy command-word shim is the independent decision.
Plan,l0/work/plans/refactors/closed/2026-02-24-stage-independent-shared-assets-layout-noref.md,2026-02-24,Relocate Stage 1-owned stdlib/runtime assets into stage-independent shared directories and update all path defaults,Refactor,L0,L0,Stage 1/2,Compiler asset layout / environment defaults,Closed (implemented),2,"Final audited decision count: 2. Counts the shared asset boundary, the one-time hard cut, and the canonical compiler-home interpretation separately. Global reconciliation removed 1 repeated or non-architectural candidate event(s)."
Plan,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md,2026-02-24,Refactor Stage 2 lexer and parser to use `util.diag` with parser multi-diagnostic collection,Refactor,L0,L0 Stage 2,Stage 2,Lexer / parser / diagnostics,Closed (implemented),5,Final audited decision count: 5. Captures both retained diagnostic API choices and historical recovery/transport choices later replaced by statement recovery and logical lexer-error wrapper tokens.
