candidate_id,candidate_key,title,destination,priority,canonical_decision_ids,related_closed_plans,related_closed_initiatives,architectural_question,chosen_decision,alternatives,rationale,consequences,current_docs,proposed_adr_ref,numbering_action
DEA-ADR-CAND-001,shared-for-header-flow-liveness-cleanup,"Shared For-Header Control Flow, Liveness, and Cleanup Semantics",docs/decisions/,P0,DEA-CANON-0493 | DEA-CANON-0494 | DEA-CANON-0495 | DEA-CANON-0496 | DEA-CANON-0499 | DEA-CANON-0500,work/plans/bug-fixes/closed/2026-06-22-shared-for-header-and-statement-flow-safety-noref.md,,"Which statements may occur in for initialization/update clauses, which loop receives abrupt control, and how do those paths affect execution order, definite return, and cleanup?",Keep ordinary abrupt simple statements in headers; allow declarations only in initialization; target an already-enclosing loop from header break/continue; preserve init/condition/body/update order; and compute definite flow only from paths guaranteed to execute while honoring with cleanup exit replacement.,Restrict headers to a non-abrupt BasicStmt grammar | Treat header break/continue as targeting the loop whose header is executing | Infer definite return from body/update paths that may execute zero times,"The adopted model preserves the existing expressive grammar while making target selection, sequencing, liveness, and deterministic cleanup explicit across compiler stages.","Parser, analyzer, backend, and cleanup lowering must share one control-flow model | Header updates run after body continue, but body/update returns do not prove function return | Invalid or impossible exits cannot corrupt later reachability analysis",docs/specs/compiler/diagnostic-code-catalog.md,DEA-ADR-0012,New ADR
DEA-ADR-CAND-002,l0-release-identity-integrity-and-immutable-publication,"L0 Release Identity, Integrity, and Immutable Publication",l0/docs/decisions/,P0,DEA-CANON-0140 | DEA-CANON-0145 | DEA-CANON-0146 | DEA-CANON-0353 | DEA-CANON-0354 | DEA-CANON-0355 | DEA-CANON-0359 | DEA-CANON-0552 | DEA-CANON-0553 | DEA-CANON-0554,l0/work/plans/tools/closed/2026-03-16-github-release-workflow-noref.md | l0/work/plans/tools/closed/2026-05-01-immutable-release-workflows-noref.md | l0/work/plans/tools/closed/2026-05-07-versioned-api-reference-export-archive-noref.md | l0/work/plans/tools/closed/2026-07-13-release-1-1-0-preparation-noref.md,,"What identity, review gate, integrity manifest, and publication lifecycle define an official L0 release?","Stable releases use public-repository-only l0-vX.Y.Z tags mapped one-to-one to checked-in notes, assemble complete drafts before publication, never mutate a published release, and publish a complete bare-name SHA-256 manifest; manual snapshots remain explicit prerelease/draft flows.",Bare date-based vYYYY-MM-DD tags | Generate release bodies from Git history | Publish assets incrementally into a live release | Publish duplicate releases from the private monorepo | Sign every artifact in the initial release baseline,"Release identity and publication side effects are public, difficult to reverse, and high-risk when inferred from workflow implementation alone.","Tag validation, curated notes, asset staging, checksum completeness, sole-target enforcement, and post-publication immutability remain mandatory release gates.",l0/docs/releases/README.md | l0/docs/releases/1.1.0.md | l0/docs/project-status.md | .github/workflows/l0-release.yml | .github/workflows/l0-snapshot.yml,L0-ADR-0017,New ADR
DEA-ADR-CAND-003,compiler-diagnostic-collection-parser-recovery,"Compiler Diagnostic Collection, Parser Recovery, and Phase Barriers",docs/decisions/,P1,DEA-CANON-0023 | DEA-CANON-0025 | DEA-CANON-0065 | DEA-CANON-0441 | DEA-CANON-0446,l0/work/plans/refactors/closed/2026-02-24-stage2-lexer-parser-diag-unification.md | l0/work/plans/refactors/closed/2026-03-01-stage1-diagnostics.md | work/plans/bug-fixes/closed/2026-06-07-stray-keyword-diagnostics-and-stmt-recovery-noref.md | work/plans/bug-fixes/closed/2026-06-08-shared-parser-recovery-noref.md | work/plans/bug-fixes/closed/2026-06-09-shared-stop-parsing-at-eof-block-close-noref.md,,"How do compiler frontends accumulate errors, recover a partial parse, and decide whether later semantic/code-generation phases may run?","Use diagnostic collectors as the authoritative channel, recover at declaration and current-block statement boundaries, preserve braces during synchronization, make an unmatched block close at EOF terminal for parser recovery, return partial parse state, and gate semantic/code generation—not parsing—after accumulated recoverable errors.",Fail fast through public lexer/parser exceptions | Recover only between top-level declarations | Run semantic analysis on a partial AST containing syntax errors,A shared partial-result contract permits multiple useful diagnostics without letting malformed structure leak into semantic or backend phases.,Stage implementations may differ physically but must preserve logical recovery behavior | Parser APIs own partial results plus accumulated diagnostics | Recovery loops require explicit structural and EOF termination invariants,docs/decisions/0009-logical-lexer-error-recovery-tokens-and-codepoint-columns.md | l0/docs/reference/architecture.md | l0/docs/specs/compiler/stage1-contract.md | l0/docs/specs/compiler/stage2-contract.md,DEA-ADR-0013,New ADR
DEA-ADR-CAND-004,intentional-cross-level-parity-exceptions,Intentional Cross-Level Divergence and Parity Exceptions,docs/decisions/,P1,DEA-CANON-0439,l1/work/plans/features/closed/2026-06-08-case-else-removal-l1-phase2-noref.md,,"When may an unreleased downstream level intentionally advance ahead of the L0/Stage 1 oracle, and how is that divergence distinguished from a defect?","An unreleased level may land a forward-only migration first, but every oracle mismatch must be explicit, narrowly scoped, and recorded as a parity skip until the upstream level catches up.",Require lockstep language migrations across every level | Allow silent oracle divergence | Disable parity suites during forward migrations,"Independent level evolution is useful, but explicit skips are required to preserve the oracle's ability to detect accidental drift.",Parity fixtures need named exceptions with retirement conditions; forward migrations must identify affected diagnostics and cannot normalize unrelated divergence.,docs/decisions/0001-two-stage-architecture.md | docs/decisions/0007-case-default-arm-wildcard.md | l1/docs/reference/architecture.md,DEA-ADR-0014,New ADR
DEA-ADR-CAND-005,shared-integer-stdlib-api-contract,Shared Integer Standard-Library Naming and Failure Contract,docs/decisions/,P1,DEA-CANON-0232 | DEA-CANON-0233 | DEA-CANON-0234 | DEA-CANON-0235 | DEA-CANON-0237 | DEA-CANON-0238 | DEA-CANON-0251 | DEA-CANON-0252 | DEA-CANON-0253 | DEA-CANON-0254,l1/work/plans/features/closed/2026-04-14-l1-std-math-wide-integer-followup-noref.md | work/plans/features/closed/2026-04-14-shared-std-math-int-surface-noref.md,,"How do shared int and L1 wide-integer helper families encode type width, precondition errors, and representability failure in their public APIs?",Keep shared int helpers unsuffixed; use _ui/_l/_ul for wide families; assert invalid caller preconditions; return plain values for total or contract-constrained operations and nullable values for domain/representability failure.,Suffix shared int helpers with _i | Use overloads | Return nullable values for every arithmetic helper | Panic on all representability failures | Require uint callers to widen to ulong,Explicit width names avoid overload ambiguity while the result-type split distinguishes caller contract violations from mathematically valid but unrepresentable results.,"L0/L1 shared APIs retain unsuffixed int names, L1 wide families follow fixed suffixes, and callers must handle null only for checked operations.",l0/docs/reference/standard-library.md | l1/docs/reference/standard-library.md | l0/docs/decisions/0003-integer-model.md | l1/docs/decisions/0004-wide-integer-types.md,DEA-ADR-0015,New ADR
DEA-ADR-CAND-006,cross-level-top-level-let-boundary,Top-Level Let Inference and Runtime-Initialization Boundaries,docs/decisions/,P1,DEA-CANON-0061 | DEA-CANON-0260,l0/work/plans/features/closed/2026-02-28-stage2-semantic-foundation-milestone-noref.md | l1/work/plans/features/closed/2026-04-17-l1-let-non-constant-initializers-noref.md,,Which top-level let initializers may omit a type and which may require runtime module initialization across L0 and L1?,"L0's self-hosted semantic foundation limits unannotated top-level inference to primitive literals and constructor-style calls, while L1 permits arbitrary top-level runtime expressions and defers nonconstant initialization to module initialization.",Require explicit types for every top-level binding | Permit unrestricted inference and runtime initialization at every level | Restrict all top-level initializers to compile-time constants,The levels intentionally expose different bootstrap capability while keeping initialization and type-inference boundaries explicit.,Cross-level ports cannot assume identical top-level initializer capability | L1 backend/lifecycle logic must schedule nonconstant initialization | L0 diagnostics must request annotations outside its narrow inference set,l0/docs/reference/design-decisions.md | l1/docs/reference/design-decisions.md,DEA-ADR-0016,New ADR
DEA-ADR-CAND-007,l0-bootstrap-artifact-identity-and-provenance,Amend ADR-0014: Platform-Specific Bootstrap Artifact Identity and Provenance,l0/docs/decisions/,P1,DEA-CANON-0113 | DEA-CANON-0123 | DEA-CANON-0128 | DEA-CANON-0129 | DEA-CANON-0545 | DEA-CANON-0551,l0/work/plans/bug-fixes/closed/2026-03-13-linux-c99-compatibility-noref.md | l0/work/plans/bug-fixes/closed/2026-03-13-windows-stage2-shell-test-regressions-noref.md | l0/work/plans/bug-fixes/closed/2026-07-11-darwin-arm64-triple-bootstrap-uuid-normalization-noref.md | l0/work/plans/features/closed/2026-03-11-triple-bootstrap-self-hosting-noref.md | l0/work/plans/features/closed/2026-03-12-stage2-build-info-version-output-noref.md | work/plans/bug-fixes/closed/2026-07-11-shared-ci-platform-portability-regressions-noref.md,,"What constitutes a self-hosting fixed point when native artifacts contain toolchain- and platform-specific nondeterminism, and where may provenance enter?","Retained C is always compared raw across compiler generations; native identity is normalized or waived by platform/toolchain, executable artifacts are not mutated merely for comparison, bootstrap compilers omit provenance, and release provenance enters through a generated source overlay.",Require raw native byte identity on every toolchain | Skip all native identity checks | Strip or patch the actual executable artifacts | Inject provenance through wrapper plumbing or post-link patching,The rule preserves a meaningful compiler fixed point without confusing loader metadata or nondeterministic PE/TinyCC output with semantic compiler drift.,"Linux, Windows, TinyCC, Intel Darwin, and arm64 Darwin use explicit comparison policies. | Comparison normalization may operate on copies but must not weaken raw retained-C identity. | Release-bearing provenance is kept outside raw bootstrap generations.",l0/docs/decisions/0014-bootstrap-self-hosting-strategy.md | l0/docs/reference/architecture.md,L0-ADR-0014,Amend existing ADR
DEA-ADR-CAND-008,l0-safe-standard-stream-byte-io,L0 Safe Standard-Stream Byte I/O Boundary,l0/docs/decisions/,P1,DEA-CANON-0088 | DEA-CANON-0089 | DEA-CANON-0091 | DEA-CANON-0092 | DEA-CANON-0093 | DEA-CANON-0094 | DEA-CANON-0095 | DEA-CANON-0096,l0/work/plans/features/closed/2026-03-09-stdlib-runtime-fs-path-raw-io-bootstrap-noref.md,,"What buffer type, range discipline, failure channel, and raw-memory boundary govern safe standard-stream byte operations?","Safe std.io uses fixed-capacity ByteArray subranges with assertion-checked bounds; read/write progress uses counts and null for I/O failure, EOF is zero, write-all treats zero progress as failure, and raw-pointer operations stay in the low-level memory module.",Expose raw pointers directly from std.io | Use growable buffers or implicit whole-buffer operations | Represent EOF and I/O failure with one sentinel | Treat invalid ranges as nullable I/O failures,The split preserves a safe default API while keeping raw-memory escape hatches explicit and distinguishing program-contract errors from external I/O failure.,"Callers pass explicit start/count ranges, zero-length operations remain valid, partial progress stays observable, and unsafe raw access is not accidentally re-exported through std.io.",l0/docs/reference/standard-library.md | l1/docs/reference/standard-library.md | l0/docs/decisions/0015-stdlib-module-boundaries.md,L0-ADR-0018,New ADR
DEA-ADR-CAND-009,l0-stage2-ast-parser-ownership,L0 Stage 2 Arena-Backed AST and Parser Ownership Model,l0/docs/decisions/,P1,DEA-CANON-0004 | DEA-CANON-0006,l0/work/plans/features/closed/2026-02-14-stage2-parser-specification-noref.md,,How should the self-hosted Stage 2 parser represent AST identity and transfer ownership of parsed modules and arenas?,"Use pointer-owned declarations/shared metadata with arena-backed expression, statement, and pattern nodes referenced by integer IDs; ParseResult owns the module and arenas until released as one aggregate.",Individually heap-allocate every AST node | Use an entirely pointer-linked AST | Transfer individual arena ownership to downstream phases,The hybrid model gives stable compact IDs for dense syntax nodes while preserving pointer identity where declarations and shared metadata need it.,Downstream Stage 2 phases depend on arena lifetime through ParseResult | AST APIs must distinguish pointer-owned and ID-addressed node families | Large representation changes require coordinated parser/analyzer migration,l0/docs/reference/architecture.md | l0/docs/specs/compiler/stage2-contract.md,L0-ADR-0019,New ADR
DEA-ADR-CAND-010,l0-stage2-driver-and-host-process-boundary,L0 Stage 2 Driver and Host-Process Boundary,l0/docs/decisions/,P1,DEA-CANON-0098 | DEA-CANON-0099 | DEA-CANON-0100 | DEA-CANON-0115,l0/work/plans/features/closed/2026-03-10-stage2-build-run-driver-milestone.md | l0/work/plans/tools/closed/2026-03-11-windows-build-support.md,,"Which responsibilities belong to the Stage 2 build driver, and how may the self-hosted compiler invoke and interpret host compiler/linker processes?","The l0c facade owns build orchestration and invokes host tools through std.system; runtime status values are normalized, while platform-specific command construction is confined to the driver/host boundary.",Introduce a new general subprocess abstraction in the compiler | Expose raw C `system()` wait-status words | Use one POSIX shell command grammar on every host | Keep host-process orchestration in the public CLI module | Let each command mode parse and normalize its own inputs,The orchestration split and process-execution contract are one architectural boundary: together they keep host shell behavior out of compiler phases while preserving a portable self-hosted driver.,Command rendering is host-specific. | The runtime owns child-status normalization. | Stage 2 has no independent general subprocess surface. | CLI parity changes land at the l0c boundary | Host command construction and execution remain testable behind build_driver,l0/docs/reference/architecture.md | l0/docs/specs/compiler/cli-contract.md | docs/decisions/0003-shared-cli-contract.md | l0/docs/specs/compiler/stage2-contract.md,L0-ADR-0020,New ADR
