canonical_id,summary,primary_category,secondary_categories,scope,current_status,included_in_current_total,historical_event_ids,incoming_relationship_ids,outgoing_relationship_ids,affected_targets,current_docs,related_adrs,adr_coverage,adr_warranted,reviewer_notes
DEA-CANON-0001,Non-place ARC rvalues crossing borrowed-use boundaries are materialized as cleanup-owned temporaries and remain live through consumption.,Ownership and memory safety,Backend and C emission,L0 Stage 1,Retained,Yes,DEA-DEC-0001,,,L0 Stage 1 | Stage 1,l0/docs/reference/c-backend-design.md | l0/docs/reference/ownership.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0008-arc-ownership-model.md,Covered as part of a broader ADR,Yes,The canonical wording covers string-comparison helper calls without counting that mechanical application again.
DEA-CANON-0002,"A borrowed ARC parameter was promoted lazily to an owned binding on its first reassignment, without releasing the caller-owned old value, and ownership was registered in the declaring function scope.",Ownership and memory safety,Backend and C emission,L0 Stage 1,Superseded,No,DEA-DEC-0002,,DEA-REL-0021,L0 Stage 1 | Stage 1,l0/docs/reference/ownership.md,docs/decisions/0002-arc-ownership-model.md | l0/docs/decisions/0008-arc-ownership-model.md,Directly covered,Yes,One atomic historical event.
DEA-CANON-0003,"L0 Stage 1 is the behavioral oracle for the mechanical Stage 2 port across parser, semantic-analysis, diagnostic, and backend surfaces.",Bootstrap and self-hosting,Diagnostics and recovery | Frontend architecture,L0 Stage 2,Retained,Yes,DEA-DEC-0003,,,L0 Stage 2 | Stage 2,l0/docs/reference/architecture.md | l0/docs/specs/compiler/stage1-contract.md | l0/docs/specs/compiler/stage2-contract.md,docs/decisions/0001-two-stage-architecture.md,Directly covered,Yes,Generalizes the retained earliest event after removing later subsystem restatements.
DEA-CANON-0004,"Stage 2 uses a hybrid AST: declaration/shared metadata is pointer-owned, while expressions, statements, and patterns are arena-backed and connected by integer IDs.",Frontend architecture,Ownership and memory safety,L0 Stage 2,Retained,Yes,DEA-DEC-0004,,,L0 Stage 2 | Stage 2,l0/docs/reference/architecture.md,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0005,The parser is a syntax-only phase; semantic and type-checking logic stays outside it.,Frontend architecture,Semantic analysis,L0 Stage 2,Retained,Yes,DEA-DEC-0005,,,L0 Stage 2 | Stage 2,l0/docs/reference/architecture.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0006,"A Stage 2 ParseResult owns its module and AST arenas, and the caller releases the aggregate with parse_result_free.",Frontend architecture,Ownership and memory safety,L0 Stage 2,Retained,Yes,DEA-DEC-0006,,,L0 Stage 2 | Stage 2,l0/docs/reference/architecture.md,,Not covered,Yes,Included in the prioritized missing-ADR backlog.
DEA-CANON-0007,Trace analysis fails only for definite runtime faults; suspicious or compatibility heuristics remain warnings.,Diagnostics and recovery,Repository and process architecture | Runtime,L0 Stage 2,Retained,Yes,DEA-DEC-0007,,,L0 Stage 2 | Stage 2,l0/docs/specs/runtime/trace.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0008,"Inline `with` cleanup is registered after each successful header item, so a later `?` short-circuit runs only prior completed cleanups in LIFO order.",Language semantics,Backend and C emission | Ownership and memory safety,L0,Retained,Yes,DEA-DEC-0008,,,L0 | Stage 1,l0/docs/reference/grammar.md | l0/docs/reference/ownership.md,l0/docs/decisions/0010-with-statement-cleanup.md,Directly covered,Yes,One atomic historical event.
DEA-CANON-0009,A cleanup block may not reference a non-nullable `with` header binding that can be uninitialized on a `?` header-failure path.,Type system,Diagnostics and recovery | Language semantics,L0,Retained,Yes,DEA-DEC-0009,,,L0 | Stage 1,docs/specs/compiler/diagnostic-code-catalog.md | l0/docs/reference/grammar.md,l0/docs/decisions/0010-with-statement-cleanup.md,Covered as part of a broader ADR,Yes,One atomic historical event.
DEA-CANON-0010,"`module parser` remains the sole stable public import facade while expression, statement, declaration, and shared parser internals live in private submodules.",Frontend architecture,,L0 Stage 2,Retained,Yes,DEA-DEC-0010,,,L0 Stage 2 | Stage 2,l0/docs/reference/architecture.md,,ADR not warranted,No,One atomic historical event.
DEA-CANON-0011,"The Stage 2 parser public result is diagnostics-only, with a collector and helper queries instead of a public single-error enum.",Frontend architecture,Diagnostics and recovery,L0 Stage 2,Retained,Yes,DEA-DEC-0011 | DEA-DEC-0026,DEA-REL-0001,DEA-REL-0001,L0 Stage 2 | Stage 2,l0/docs/reference/architecture.md,,ADR not warranted,No,Groups 2 historical events.
DEA-CANON-0012,Compiler operating modes are selected by flags only across the current shared CLI.,CLI and distribution,Bootstrap and self-hosting,Dea-wide,Retained,Yes,DEA-DEC-0012 | DEA-DEC-0021,,,L0 Stage 1 | L0 Stage 2 | Stage 1 | Stage 2,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Directly covered,Yes,This merges the original global-mode choice with the Stage 2 flags-only event and follows removal of the transitional Stage 1 shim.
DEA-CANON-0013,`--build` is the compiler's default mode when no primary mode flag is supplied.,CLI and distribution,,L0 Stage 1,Retained,Yes,DEA-DEC-0013,,,L0 Stage 1 | Stage 1,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Directly covered,Yes,One atomic historical event.
DEA-CANON-0014,Stage 1 initially retained a compatibility shim that rewrote the first recognized legacy command word into a mode flag.,CLI and distribution,,L0 Stage 1,Superseded,No,DEA-DEC-0014,,DEA-REL-0042,L0 Stage 1 | Stage 1,l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Directly covered,Yes,One atomic historical event.
DEA-CANON-0015,"Runtime arguments for `--run` must follow a `--` separator, and the separator is invalid outside run mode.",CLI and distribution,,L0,Retained,Yes,DEA-DEC-0015,,,L0 | Stage 1,docs/specs/compiler/cli-contract.md | l0/docs/specs/compiler/cli-contract.md,docs/decisions/0003-shared-cli-contract.md,Directly covered,Yes,One atomic historical event.
